IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2017,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,,,,,,,20.9,,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,WPR,Western Pacific,Country,WSM,Samoa,Year,2017,true,Sex,Male,SEX_MLE,,,,,,,,,,,,,,,,22.5,,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,AFR,Africa,Country,MUS,Mauritius,Year,2017,true,Sex,Male,SEX_MLE,,,,,,,,,,,,,,,,22.8,,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,EUR,Europe,Country,TUR,Türkiye,Year,2017,true,Sex,Male,SEX_MLE,,,,,,,,,,,,,,,,23.2,,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2017,true,Sex,Female,SEX_FMLE,,,,,,,,,,,,,,,,27.9,,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,WPR,Western Pacific,Country,TON,Tonga,Year,2017,true,Sex,Male,SEX_MLE,,,,,,,,,,,,,,,,28,,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2017,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,,,,,,,31.5,,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2017,true,Sex,Male,SEX_MLE,,,,,,,,,,,,,,,,32.4,,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2017,true,Sex,Male,SEX_MLE,,,,,,,,,,,,,,,,35.3,,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,EMR,Eastern Mediterranean,Country,TUN,Tunisia,Year,2017,true,Sex,Female,SEX_FMLE,,,,,,,,,,,,,,,,4.6,,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,AFR,Africa,Country,GMB,Gambia,Year,2017,true,Sex,Female,SEX_FMLE,,,,,,,,,,,,,,,,5,,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2017,true,Sex,Female,SEX_FMLE,,,,,,,,,,,,,,,,5.6,,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2017,true,Sex,Female,SEX_FMLE,,,,,,,,,,,,,,,,7,,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2017,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,,,,,,,7.5,,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2017,true,Sex,Male,SEX_MLE,,,,,,,,,,,,,,,,7.9,,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,AFR,Africa,Country,GHA,Ghana,Year,2017,true,Sex,Female,SEX_FMLE,,,,,,,,,,,,,,,,8.1,,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,WPR,Western Pacific,Country,WSM,Samoa,Year,2017,true,Sex,Female,SEX_FMLE,,,,,,,,,,,,,,,,8.1,,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2017,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,,,,,,,8.3,,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,WPR,Western Pacific,Country,TON,Tonga,Year,2017,true,Sex,Female,SEX_FMLE,,,,,,,,,,,,,,,,8.4,,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,AFR,Africa,Country,GHA,Ghana,Year,2017,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,,,,,,,8.8,,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,AFR,Africa,Country,GHA,Ghana,Year,2017,true,Sex,Male,SEX_MLE,,,,,,,,,,,,,,,,8.8,,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,AFR,Africa,Country,LBR,Liberia,Year,2017,true,Sex,Male,SEX_MLE,,,,,,,,,,,,,,,,9.3,,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2017,true,Sex,Female,SEX_FMLE,,,,,,,,,,,,,,,,9.6,,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,AFR,Africa,Country,SLE,Sierra Leone,Year,2017,true,Sex,Female,SEX_FMLE,,,,,,,,,,,,,,,,9.7,,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,WPR,Western Pacific,Country,AUS,Australia,Year,2017,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,WPR,Western Pacific,Country,AUS,Australia,Year,2017,true,Sex,Female,SEX_FMLE,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,WPR,Western Pacific,Country,AUS,Australia,Year,2017,true,Sex,Male,SEX_MLE,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2017,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2017,true,Sex,Female,SEX_FMLE,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2017,true,Sex,Male,SEX_MLE,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,WPR,Western Pacific,Country,JPN,Japan,Year,2017,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,WPR,Western Pacific,Country,JPN,Japan,Year,2017,true,Sex,Female,SEX_FMLE,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,WPR,Western Pacific,Country,JPN,Japan,Year,2017,true,Sex,Male,SEX_MLE,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
Yth_daily_tob_use,Prevalence of daily tobacco use among adolescents (%),text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2017,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
Yth_daily_tob_use,Prevalence of daily tobacco use among adolescents (%),text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2017,true,Sex,Female,SEX_FMLE,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
Yth_daily_tob_use,Prevalence of daily tobacco use among adolescents (%),text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2017,true,Sex,Male,SEX_MLE,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
Yth_daily_tob_use,Prevalence of daily tobacco use among adolescents (%),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2017,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
Yth_daily_tob_use,Prevalence of daily tobacco use among adolescents (%),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2017,true,Sex,Female,SEX_FMLE,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
Yth_daily_tob_use,Prevalence of daily tobacco use among adolescents (%),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2017,true,Sex,Male,SEX_MLE,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
Yth_daily_tob_use,Prevalence of daily tobacco use among adolescents (%),text,WPR,Western Pacific,Country,AUS,Australia,Year,2017,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
Yth_daily_tob_use,Prevalence of daily tobacco use among adolescents (%),text,WPR,Western Pacific,Country,AUS,Australia,Year,2017,true,Sex,Female,SEX_FMLE,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
Yth_daily_tob_use,Prevalence of daily tobacco use among adolescents (%),text,WPR,Western Pacific,Country,AUS,Australia,Year,2017,true,Sex,Male,SEX_MLE,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
Yth_daily_tob_use,Prevalence of daily tobacco use among adolescents (%),text,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2017,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,,,,,,,Data not available,1217,,EN,2023-12-06T23:00:00.000Z
