Region,Location,yr_law,yr_fb50,gap_years,product
Eastern Mediterranean,Bahrain,2010,2012.0,2.0,osm
Eastern Mediterranean,Djibouti,2007,2007.0,0.0,osm
Eastern Mediterranean,Egypt,2007,2007.0,0.0,osm
Eastern Mediterranean,Iran (Islamic Republic of),2007,2007.0,0.0,osm
Eastern Mediterranean,Kuwait,2007,2012.0,5.0,osm
Eastern Mediterranean,Oman,2007,2012.0,5.0,osm
Eastern Mediterranean,Qatar,2007,2012.0,5.0,osm
Eastern Mediterranean,Saudi Arabia,2012,2012.0,0.0,osm
Eastern Mediterranean,Sudan,2007,2022.0,15.0,osm
Eastern Mediterranean,Tunisia,2007,2022.0,15.0,osm
Eastern Mediterranean,United Arab Emirates,2010,2012.0,2.0,osm
Eastern Mediterranean,Yemen,2007,2012.0,5.0,osm
Europe,Albania,2007,2008.0,1.0,osm
Europe,Armenia,2007,2014.0,7.0,osm
Europe,Austria,2007,2016.0,9.0,osm
Europe,Belarus,2014,2014.0,0.0,osm
Europe,Belgium,2007,2016.0,9.0,osm
Europe,Bulgaria,2007,2016.0,9.0,osm
Europe,Croatia,2007,2018.0,11.0,osm
Europe,Cyprus,2007,2018.0,11.0,osm
Europe,Czechia,2007,2016.0,9.0,osm
Europe,Denmark,2007,2016.0,9.0,osm
Europe,Estonia,2007,2016.0,9.0,osm
Europe,Finland,2007,2016.0,9.0,osm
Europe,France,2007,2016.0,9.0,osm
Europe,Georgia,2007,2018.0,11.0,osm
Europe,Germany,2007,2016.0,9.0,osm
Europe,Greece,2007,2016.0,9.0,osm
Europe,Hungary,2007,2016.0,9.0,osm
Europe,Ireland,2007,2016.0,9.0,osm
Europe,Israel,2007,2020.0,13.0,osm
Europe,Italy,2007,2016.0,9.0,osm
Europe,Kazakhstan,2007,2014.0,7.0,osm
Europe,Kyrgyzstan,2007,2014.0,7.0,osm
Europe,Latvia,2007,2016.0,9.0,osm
Europe,Lithuania,2007,2016.0,9.0,osm
Europe,Luxembourg,2007,2018.0,11.0,osm
Europe,Malta,2007,2016.0,9.0,osm
Europe,Montenegro,2007,2020.0,13.0,osm
Europe,Netherlands (Kingdom of the),2007,2016.0,9.0,osm
Europe,Poland,2007,2016.0,9.0,osm
Europe,Portugal,2007,2016.0,9.0,osm
Europe,Republic of Moldova,2007,2016.0,9.0,osm
Europe,Romania,2007,2016.0,9.0,osm
Europe,Russian Federation,2008,2014.0,6.0,osm
Europe,Slovakia,2007,2016.0,9.0,osm
Europe,Slovenia,2007,2018.0,11.0,osm
Europe,Spain,2007,2018.0,11.0,osm
Europe,Sweden,2007,2016.0,9.0,osm
Europe,Tajikistan,2010,2018.0,8.0,osm
Europe,Türkiye,2007,2012.0,5.0,osm
Europe,Ukraine,2007,2010.0,3.0,osm
Europe,United Kingdom of Great Britain and Northern Ireland,2007,2016.0,9.0,osm
South-East Asia,Bangladesh,2007,2014.0,7.0,osm
South-East Asia,India,2007,2016.0,9.0,osm
South-East Asia,Maldives,2007,2020.0,13.0,osm
South-East Asia,Myanmar,2007,2016.0,9.0,osm
South-East Asia,Nepal,2010,2012.0,2.0,osm
South-East Asia,Sri Lanka,2016,2016.0,0.0,osm
South-East Asia,Thailand,2007,2007.0,0.0,osm
South-East Asia,Timor-Leste,2007,2016.0,9.0,osm
Western Pacific,Australia,2007,2012.0,5.0,osm
Western Pacific,Brunei Darussalam,2007,2007.0,0.0,osm
Western Pacific,Cambodia,2016,2016.0,0.0,osm
Western Pacific,Cook Islands,2007,2008.0,1.0,osm
Western Pacific,Fiji,2007,2010.0,3.0,osm
Western Pacific,Japan,2007,2020.0,13.0,osm
Western Pacific,Kiribati,2014,2016.0,2.0,osm
Western Pacific,New Zealand,2007,2018.0,11.0,osm
Western Pacific,Niue,2018,2018.0,0.0,osm
Western Pacific,Papua New Guinea,2007,2018.0,11.0,osm
Western Pacific,Philippines,2007,2014.0,7.0,osm
Western Pacific,Republic of Korea,2014,2016.0,2.0,osm
Western Pacific,Singapore,2007,2007.0,0.0,osm
Western Pacific,Solomon Islands,2010,2014.0,4.0,osm
Western Pacific,Tonga,2007,2007.0,0.0,osm
